,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
0,0.0775,6,5,0.75,9,0.881162379,0.944535788,0.06877182,0.104385875,0.085142618,0.11978048,0.77034319,0.753271423,GBM2023
1,0.0775,7,5,0.625,8,0.862164778,0.930929161,0.079777968,0.134646219,0.131934759,0.137086532,0.750485646,0.732154138,GBM2023
2,0.055,5,6,1,13,0.863711352,0.931667599,0.081288303,0.131852297,0.122936128,0.139876849,0.718756745,0.736318408,GBM2023
3,0.055,5,7,1,12,0.860393603,0.927199769,0.088004087,0.136624835,0.118897725,0.152579235,0.73796676,0.739003566,GBM2023
4,0.0775,5,6,0.875,8,0.860500928,0.932111973,0.079432151,0.133848406,0.125814664,0.140275399,0.730196417,0.723172296,GBM2023
5,0.0775,5,5,0.75,7,0.867194242,0.940097915,0.073931145,0.13785192,0.158415148,0.119345015,0.743578675,0.740462117,GBM2023
6,0.055,5,7,1,14,0.863021027,0.929909326,0.084758884,0.112611252,0.078939346,0.142915966,0.723505288,0.719544918,GBM2023
7,0.0775,5,5,0.875,8,0.851240769,0.932516986,0.078738847,0.161120087,0.202542129,0.127982453,0.709691345,0.712305026,GBM2023
8,0.0775,6,5,0.625,10,0.856754266,0.922062161,0.086055531,0.127543978,0.091012136,0.160422637,0.768184761,0.718554411,GBM2023
9,0.055,5,7,1,13,0.866934986,0.932419309,0.08203137,0.119999514,0.101167599,0.136948236,0.723505288,0.737351518,GBM2023
10,0.055,5,5,1,13,0.869095858,0.934617882,0.081619195,0.121151968,0.092322734,0.147098278,0.735376646,0.744536713,GBM2023
11,0.0775,4,5,0.625,6,0.86697375,0.931535965,0.082954936,0.131488854,0.107247208,0.150882172,0.756960932,0.750802826,GBM2023
12,0.0775,6,6,0.875,12,0.872915235,0.934970406,0.075390509,0.096280304,0.066909851,0.122713711,0.748327218,0.728361345,GBM2023
13,0.0775,6,5,0.625,9,0.856402409,0.923987813,0.084128028,0.144464493,0.130654274,0.15689369,0.764731276,0.730214345,GBM2023
14,0.0775,6,5,0.875,11,0.861411419,0.928886886,0.07886259,0.129301695,0.139021126,0.120554208,0.76278869,0.724923077,GBM2023
15,0.0775,6,5,0.875,9,0.858900346,0.933077539,0.077608278,0.15222927,0.176049729,0.130790858,0.742715303,0.732361392,GBM2023
16,0.0775,5,6,1,12,0.850117554,0.923560666,0.086397473,0.157928173,0.167095914,0.149677206,0.736024174,0.721235195,GBM2023
17,0.055,6,5,0.875,10,0.860496572,0.934941116,0.077064709,0.138267094,0.125303701,0.148637809,0.755665875,0.722376973,GBM2023
18,0.0775,6,6,0.875,8,0.866091996,0.933822296,0.076601616,0.12574501,0.126621402,0.125043896,0.729333046,0.732892311,GBM2023
19,0.055,5,5,0.875,12,0.864671709,0.926352821,0.083925427,0.113889177,0.078523173,0.14218198,0.742283618,0.73014862,GBM2023
